workerid,face_dft,condition,rating,dft
anon41,100,trustworthy,4,100
anon42,0,trustworthy,7.66666666666667,0
anon42,10,trustworthy,7.33333333333333,10
anon42,20,trustworthy,7.33333333333333,20
anon42,30,trustworthy,7,30
anon42,40,trustworthy,6,40
anon42,50,trustworthy,6,50
anon42,60,trustworthy,6,60
anon42,70,trustworthy,6,70
anon42,80,trustworthy,5.66666666666667,80
anon42,90,trustworthy,5.33333333333333,90
anon42,100,trustworthy,5.33333333333333,100
anon43,0,trustworthy,6.33333333333333,0
anon43,10,trustworthy,6.66666666666667,10
anon43,20,trustworthy,7,20
anon43,30,trustworthy,6.66666666666667,30
anon43,40,trustworthy,7,40
anon43,50,trustworthy,7,50
anon43,60,trustworthy,7,60
anon43,70,trustworthy,7,70
anon43,80,trustworthy,7,80
anon43,90,trustworthy,7,90
anon43,100,trustworthy,7.66666666666667,100
anon44,0,attractive,5.33333333333333,0
anon44,10,attractive,5,10
anon44,20,attractive,5.33333333333333,20
anon44,30,attractive,5.66666666666667,30
anon44,40,attractive,7,40
anon44,50,attractive,6.66666666666667,50
anon44,60,attractive,8,60
anon44,70,attractive,7.66666666666667,70
anon44,80,attractive,6.33333333333333,80
anon44,90,attractive,6,90
anon44,100,attractive,6.66666666666667,100
anon45,0,trustworthy,5.33333333333333,0
anon45,10,trustworthy,5.33333333333333,10
anon45,20,trustworthy,5.33333333333333,20
anon45,30,trustworthy,6.66666666666667,30
anon45,40,trustworthy,6,40
anon45,50,trustworthy,6,50
anon45,60,trustworthy,6.66666666666667,60
anon45,70,trustworthy,6.66666666666667,70
anon45,80,trustworthy,6.66666666666667,80
anon45,90,trustworthy,6.66666666666667,90
anon45,100,trustworthy,6.66666666666667,100
anon46,0,trustworthy,4.66666666666667,0
anon46,10,trustworthy,4,10
anon46,20,trustworthy,4.66666666666667,20
anon46,30,trustworthy,4.33333333333333,30
anon46,40,trustworthy,4.66666666666667,40
anon46,50,trustworthy,6,50
anon46,60,trustworthy,4.66666666666667,60
anon46,70,trustworthy,4.66666666666667,70
anon46,80,trustworthy,5.33333333333333,80
anon46,90,trustworthy,5.33333333333333,90
anon46,100,trustworthy,5,100
anon47,0,trustworthy,6,0
anon47,10,trustworthy,5.33333333333333,10
anon47,20,trustworthy,6.66666666666667,20
anon47,30,trustworthy,7,30
anon47,40,trustworthy,7.33333333333333,40
anon47,50,trustworthy,7.66666666666667,50
anon47,60,trustworthy,7.66666666666667,60
anon47,70,trustworthy,8,70
anon47,80,trustworthy,8,80
anon47,90,trustworthy,9,90
anon47,100,trustworthy,9,100
anon48,0,attractive,7,0
anon48,10,attractive,7,10
anon48,20,attractive,7,20
anon48,30,attractive,7,30
anon48,40,attractive,7.33333333333333,40
anon48,50,attractive,7.66666666666667,50
anon48,60,attractive,7.66666666666667,60
anon48,70,attractive,7.66666666666667,70
anon48,80,attractive,8.66666666666667,80
anon48,90,attractive,9,90
anon48,100,attractive,9,100
anon49,0,trustworthy,6,0
anon49,10,trustworthy,6.66666666666667,10
anon49,20,trustworthy,5.33333333333333,20
anon49,30,trustworthy,5.66666666666667,30
anon49,40,trustworthy,5,40
anon49,50,trustworthy,5.66666666666667,50
anon49,60,trustworthy,5,60
anon49,70,trustworthy,5.66666666666667,70
anon49,80,trustworthy,6.33333333333333,80
anon49,90,trustworthy,5.33333333333333,90
anon49,100,trustworthy,6,100
anon5,0,trustworthy,3.66666666666667,0
anon5,10,trustworthy,2.66666666666667,10
anon5,20,trustworthy,3.66666666666667,20
anon5,30,trustworthy,4,30
anon5,40,trustworthy,4.66666666666667,40
anon5,50,trustworthy,5,50
anon5,60,trustworthy,5,60
anon5,70,trustworthy,5.33333333333333,70
anon5,80,trustworthy,5.66666666666667,80
anon5,90,trustworthy,6,90
anon5,100,trustworthy,6,100
anon50,0,attractive,4,0
anon50,10,attractive,4,10
anon50,20,attractive,4.66666666666667,20
anon50,30,attractive,4.33333333333333,30
anon50,40,attractive,6,40
anon50,50,attractive,7.33333333333333,50
anon50,60,attractive,7.66666666666667,60
anon50,70,attractive,8,70
anon50,80,attractive,8,80
anon50,90,attractive,8.66666666666667,90
anon50,100,attractive,9,100
anon51,0,attractive,6.33333333333333,0
anon51,10,attractive,5.66666666666667,10
anon51,20,attractive,6.33333333333333,20
anon51,30,attractive,8,30
anon51,40,attractive,7.33333333333333,40
anon51,50,attractive,8,50
anon51,60,attractive,8.33333333333333,60
anon51,70,attractive,8.33333333333333,70
anon51,80,attractive,9,80
anon51,90,attractive,9,90
anon51,100,attractive,9,100
anon52,0,attractive,8,0
anon52,10,attractive,8.33333333333333,10
anon52,20,attractive,8.33333333333333,20
anon52,30,attractive,8.66666666666667,30
anon52,40,attractive,8.66666666666667,40
anon52,50,attractive,9,50
anon52,60,attractive,9,60
anon52,70,attractive,9,70
anon52,80,attractive,9,80
anon52,90,attractive,9,90
anon52,100,attractive,9,100
anon53,0,trustworthy,4.66666666666667,0
anon53,10,trustworthy,6,10
anon53,20,trustworthy,3.66666666666667,20
anon53,30,trustworthy,6,30
anon53,40,trustworthy,5.66666666666667,40
anon53,50,trustworthy,6,50
anon53,60,trustworthy,6,60
